"Classe";"Acurácia média";"Desvio Padrão"
"Total";"0.71";"0.0337268439080801"
"1";"0.72";"0.228035085019828"
"2";"0.8";"0.346410161513775"
"3";"0.84";"0.167332005306815"
"4";"0.56";"0.3286335345031"
"5";"0.52";"0.228035085019828"
"6";"0.56";"0.260768096208106"
"7";"0.8";"0.2"
"8";"0.64";"0.260768096208106"
"9";"0.8";"0.346410161513775"
"10";"0.56";"0.260768096208106"
"11";"0.64";"0.167332005306815"
"12";"0.72";"0.33466401061363"
"13";"0.48";"0.228035085019828"
"14";"0.76";"0.3286335345031"
"15";"0.88";"0.109544511501033"
"16";"0.68";"0.438178046004133"
"17";"0.88";"0.109544511501033"
"18";"0.84";"0.167332005306815"
"19";"0.72";"0.228035085019828"
"20";"0.76";"0.167332005306815"
"21";"0.52";"0.414728827066554"
"22";"0.72";"0.33466401061363"
"23";"0.64";"0.3286335345031"
"24";"0.6";"0"
"25";"0.68";"0.228035085019828"
"26";"0.68";"0.109544511501033"
"27";"0.8";"0.14142135623731"
"28";"0.8";"0.346410161513775"
"29";"0.8";"0.282842712474619"
"30";"0.76";"0.3286335345031"
"31";"0.64";"0.433589667773576"
"32";"0.88";"0.178885438199983"
"33";"0.76";"0.433589667773576"
"34";"0.68";"0.303315017762062"
"35";"0.76";"0.260768096208106"
"36";"0.88";"0.178885438199983"
"37";"0.64";"0.167332005306815"
"38";"0.72";"0.268328157299975"
"39";"0.6";"0.244948974278318"
"40";"0.68";"0.303315017762062"
